industry_skill,gap_status,demand_percentage,recommended_priority,recommended_action,explanation
Developer,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Balance,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Forgings,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Engineering services,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
TCP,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Dynamics,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
GTAW,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Medidata Rave,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Financial Advisory,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Field Sales Management,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Business Research,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Microsoft Dynamics Crm Technical,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Line Balancing,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
It Service Desk,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Transition,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Telecommunication,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Pipeline,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Physiotherapy,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Project Management Process,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
PFMEA,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Call Monitoring,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Social Media Strategies,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Financial Instruments,unmatched,0.0581,None,Monitor,Skill has low demand (0.06%) and is not currently in curriculum.
Zoho,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Final Inspection,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Online Branding,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Technical analysis,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Pi,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Safety Training,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Plant Quality,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Design Calculations,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Business Generation,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Business Expansion,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Lightning,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
BCOM,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Record Keeping,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Oracle Apps Technical,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Skin Care,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Business Requirements,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Financial Products Sales,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Google Adwords,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Data Mining,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
S3,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
TDD,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
W2,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Vulnerability Management,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Civil 3D,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Mulesoft Anypoint,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Fanuc,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Oracle Fusion Financials,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Oil,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Wiring,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Production Scheduling,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Technology management,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Backend Process,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Claims Management,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
San,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
IT Support,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Excel Sheet,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Site Planning,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Mysql,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Power Automate,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Power Point Presentation,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Accountant,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Steel,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Banking And Finance,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Verbal communication,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Sap Configuration,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
SOX,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
SOA,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Car Loan,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Manpower Management,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Websphere,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
PEB,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
DST,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Evaluation,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Automation Anywhere,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Contract Drafting,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Indirect,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Mern Stack,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Product Launch,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Bpo Operations,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Regulatory Submissions,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Video editing,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Preschool,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Uipath,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Technical Recruitment,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Microcontroller,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Bpt,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Dealer Sales,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
WFM,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Manhattan WMS,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Floor Management,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Hotel Booking,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Hotel,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Data Pipeline,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
OS Installation,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Search Engine Optimization,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Production planning,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Distribution Management,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Inprocess Quality,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Sales planning,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Veeva,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Paint Shop Production,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Project development,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Ariba,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
E-tendering,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
EBS,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Remediation,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Renewable energy,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
QC Inspection,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Motors,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Stamping Parts,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
PO,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Biw,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Bitbucket,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Dreamweaver,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Marketing operations,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Us Gaap,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Telugu,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Cyber,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Amazon Ec2,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
ITR,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Checkpoint,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
Market Development,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
HTML5,unmatched,0.0539,None,Monitor,Skill has low demand (0.05%) and is not currently in curriculum.
